seed,variant,n_features,threshold,precision,recall,f1,ap,auc
46,full_base_plus_ma2,36,0.4700667955511666,0.5306748466257669,0.6383763837638377,0.5795644891122278,0.5863520556796457,0.9056018436447438
46,ma2_only,5,0.6706340246176039,0.36503067484662577,0.43911439114391143,0.39865996649916247,0.34366685384625933,0.8158075659820595
46,base_plus_pca_only,34,0.4392308487564386,0.5191176470588236,0.6512915129151291,0.5777414075286416,0.5930179909024706,0.9088454259830668
46,base_plus_kmeans_only,33,0.5392606553534719,0.5562805872756933,0.6291512915129152,0.5904761904761905,0.5891349732701907,0.9086897392639942
47,base_only,31,0.5990071398677626,0.6089385474860335,0.6033210332103321,0.6061167747914736,0.6311504766070712,0.9118862230990683
47,full_base_plus_ma2,36,0.642630774972514,0.6361788617886179,0.577490774907749,0.6054158607350096,0.6372972603016873,0.9156920438199242
47,ma2_only,5,0.5741442298889501,0.3318534961154273,0.551660516605166,0.4144144144144144,0.36320085162776994,0.8227294105949391
47,base_plus_pca_only,34,0.6717127351971117,0.6531914893617021,0.566420664206642,0.6067193675889329,0.6365920736972897,0.9126558257250716
47,base_plus_kmeans_only,33,0.5401380742389302,0.58147512864494,0.6254612546125461,0.6026666666666667,0.6267384235699208,0.9119853261996546
48,base_only,31,0.5676326910851596,0.6130268199233716,0.5904059040590406,0.6015037593984962,0.6272320496619482,0.9092150184043942
48,full_base_plus_ma2,36,0.48781515142113635,0.5795847750865052,0.6180811808118081,0.5982142857142857,0.6153086313066909,0.9042709838550256
48,ma2_only,5,0.729413592599343,0.42528735632183906,0.4095940959409594,0.41729323308270677,0.36639937867436434,0.816508810363764
48,base_plus_pca_only,34,0.46855730338310553,0.5764119601328903,0.6402214022140221,0.6066433566433567,0.6283789919527654,0.9088987388721609
48,base_plus_kmeans_only,33,0.4793358769165262,0.5693069306930693,0.6365313653136532,0.6010452961672473,0.6249916413066503,0.903552404607542
49,base_only,31,0.7098641916959307,0.6431818181818182,0.522140221402214,0.5763747454175153,0.5840382321148054,0.9043543874545287
49,full_base_plus_ma2,36,0.6370554883903513,0.6037344398340249,0.5369003690036901,0.568359375,0.5825703671376923,0.9025240872866095
49,ma2_only,5,0.6202948095891914,0.35454545454545455,0.503690036900369,0.41615853658536583,0.3594085070349064,0.8222399459413845
49,base_plus_pca_only,34,0.580704996081602,0.5693430656934306,0.5756457564575646,0.5724770642201835,0.5889924589736215,0.9052482777974384
49,base_plus_kmeans_only,33,0.6530284499800657,0.6113445378151261,0.5369003690036901,0.5717092337917485,0.5813202227975329,0.90089297453868
50,base_only,31,0.6344522153492422,0.596745027124774,0.6088560885608856,0.6027397260273972,0.6252381729257517,0.9111699333621595
50,full_base_plus_ma2,36,0.6077190000562235,0.5815602836879432,0.6051660516605166,0.593128390596745,0.6165944971895672,0.9079649456306653
50,ma2_only,5,0.6276149608787037,0.35301668806161746,0.507380073800738,0.41635124905374715,0.364458191393502,0.8132938469076235
50,base_plus_pca_only,34,0.6447225929596706,0.6041275797373359,0.5940959409594095,0.5990697674418605,0.6238052816075537,0.9113867827208674
50,base_plus_kmeans_only,33,0.5301039929564861,0.5446428571428571,0.6752767527675276,0.6029654036243822,0.6157287981401012,0.9086720773252761
51,base_only,31,0.6232434559280567,0.596039603960396,0.5553505535055351,0.5749761222540593,0.6009304028236313,0.9038487326904823
51,full_base_plus_ma2,36,0.4535704472008103,0.5303030303030303,0.6457564575645757,0.5823627287853578,0.611704900850194,0.9073660750789391
51,ma2_only,5,0.5937700805122026,0.34979973297730305,0.4833948339483395,0.4058869093725794,0.3533778668043047,0.8172388371641206
51,base_plus_pca_only,34,0.5340655193489295,0.5538461538461539,0.5977859778597786,0.5749778172138421,0.6098733687242935,0.9062239363751552
51,base_plus_kmeans_only,33,0.5438650799012558,0.5661375661375662,0.5922509225092251,0.5788999098286745,0.6037292823104831,0.9055403539321691
52,base_only,31,0.6729978929591086,0.627906976744186,0.5977859778597786,0.6124763705103969,0.6444200043040319,0.9164047357545017
52,full_base_plus_ma2,36,0.649084735973703,0.6238185255198487,0.6088560885608856,0.6162464985994398,0.6372994802078448,0.9172312490719305
52,ma2_only,5,0.633938609076866,0.36059479553903345,0.5369003690036901,0.4314306893995552,0.3780229408155663,0.8330083318560539
52,base_plus_pca_only,34,0.6468132161451899,0.601123595505618,0.5922509225092251,0.5966542750929368,0.6261177538067171,0.9148096010298873
52,base_plus_kmeans_only,33,0.6325416615545028,0.62756052141527,0.6217712177121771,0.6246524559777572,0.635078034556742,0.9153348801702872
53,base_only,31,0.6899555084968695,0.6262626262626263,0.5719557195571956,0.5978784956605593,0.6344946580833569,0.9140390171850664
53,full_base_plus_ma2,36,0.6038022600739555,0.6018348623853211,0.6051660516605166,0.6034958601655934,0.6209996000853581,0.9128906640954373
53,ma2_only,5,0.602947245444925,0.34638196915776986,0.5387453874538746,0.4216606498194946,0.36667121528487445,0.8263648263144571
53,base_plus_pca_only,34,0.48495098230009964,0.5460122699386503,0.6568265682656826,0.5963149078726968,0.6186303554190536,0.9128641711873599
