seed,variant,n_features,threshold,precision,recall,f1,ap,roc_auc,tp,fp,fn,tn
47,base_plus_kmeans2_numeric,33,0.5464984318833344,0.5889261744966443,0.6476014760147601,0.616871704745167,0.6316307936408185,0.9145554653561073,351,245,191,5396
47,base_plus_kmeans2_onehot,34,0.5464984318833344,0.5889261744966443,0.6476014760147601,0.616871704745167,0.6316307936408185,0.9145554653561073,351,245,191,5396
47,base_plus_kmeans5_numeric_current_style,33,0.5401380742389302,0.58147512864494,0.6254612546125461,0.6026666666666667,0.6267384235699208,0.9119853261996546,339,244,203,5397
47,base_plus_kmeans5_onehot,37,0.6231949790216963,0.6338582677165354,0.5940959409594095,0.6133333333333333,0.6276989122827277,0.9130466778874491,322,186,220,5455
47,base_plus_pca2,33,0.7167862966821157,0.6789838337182448,0.5424354243542435,0.6030769230769231,0.6270998885553957,0.9124314536887613,294,139,248,5502
47,base_plus_pca3_current_count,34,0.6717127351971117,0.6531914893617021,0.566420664206642,0.6067193675889329,0.6365920736972897,0.9126558257250716,307,163,235,5478
47,base_plus_pca5,36,0.4114360330406075,0.5244072524407253,0.6937269372693727,0.5972994440031771,0.6326907709492918,0.9087989816256965,376,341,166,5300
47,base_plus_pca10,41,0.5082864441442149,0.5772357723577236,0.6549815498154982,0.6136560069144339,0.6418809738146114,0.9131022802871177,355,260,187,5381
47,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.642630774972514,0.6361788617886179,0.577490774907749,0.6054158607350096,0.6372972603016873,0.9156920438199242,313,179,229,5462
47,base_plus_k2_numeric_plus_pca3,36,0.64087077243332,0.6346938775510204,0.5738007380073801,0.6027131782945736,0.633510946797588,0.9146156467769251,311,179,231,5462
48,base_only,31,0.5676326910851596,0.6130268199233716,0.5904059040590406,0.6015037593984962,0.6272320496619482,0.9092150184043942,320,202,222,5439
48,base_plus_kmeans2_numeric,33,0.4740120364574018,0.5608974358974359,0.6457564575645757,0.6003430531732419,0.614768867862651,0.9039337716546817,350,274,192,5367
48,base_plus_kmeans2_onehot,34,0.4740120364574018,0.5608974358974359,0.6457564575645757,0.6003430531732419,0.614768867862651,0.9039337716546817,350,274,192,5367
48,base_plus_kmeans5_numeric_current_style,33,0.4793358769165262,0.5693069306930693,0.6365313653136532,0.6010452961672473,0.6249916413066503,0.903552404607542,345,261,197,5380
48,base_plus_kmeans5_onehot,37,0.5837420539538384,0.6245059288537549,0.5830258302583026,0.6030534351145038,0.6210281133673424,0.9046422116410492,316,190,226,5451
48,base_plus_pca2,33,0.46589401090986376,0.5564516129032258,0.6365313653136532,0.5938037865748709,0.6234177359336024,0.9054167203611408,345,275,197,5366
48,base_plus_pca3_current_count,34,0.46855730338310553,0.5764119601328903,0.6402214022140221,0.6066433566433567,0.6283789919527654,0.9088987388721609,347,255,195,5386
48,base_plus_pca5,36,0.3964737975981307,0.5608214849921012,0.6549815498154982,0.6042553191489362,0.6188451160891447,0.9042565926456996,355,278,187,5363
48,base_plus_pca10,41,0.5290022791308593,0.6026615969581749,0.584870848708487,0.5936329588014981,0.6180318541466966,0.9045846468037451,317,209,225,5432
48,base_plus_k5_numeric_plus_pca3_existing_A2,36,0.48781515142113635,0.5795847750865052,0.6180811808118081,0.5982142857142857,0.6153086313066909,0.9042709838550256,335,243,207,5398
48,base_plus_k2_numeric_plus_pca3,36,0.5213613460017029,0.5932504440497336,0.6162361623616236,0.604524886877828,0.6158180996306072,0.9040685257056434,334,229,208,5412
49,base_only,31,0.7098641916959307,0.6431818181818182,0.522140221402214,0.5763747454175153,0.5840382321148054,0.9043543874545287,283,157,259,5484
49,base_plus_kmeans2_numeric,33,0.6250457659548849,0.6023622047244095,0.5645756457564576,0.5828571428571429,0.5832472139686958,0.9027746251580581,306,202,236,5439
